;CO_TAZID,PCT_SUM,PCT_0TO17,PCT_18TO64,PCT_65P,SUBAREAID,CO_FIPS,CO_NAME
1001,1,0.3,0.53,0.17,0,1,BEAVER
1002,1,0.35,0.44,0.21,0,1,BEAVER
1003,1,0.41,0.4,0.19,0,1,BEAVER
1004,1,0.3,0.53,0.17,0,1,BEAVER
1005,1,0.27,0.52,0.21,0,1,BEAVER
1006,1,0.35,0.44,0.21,0,1,BEAVER
1007,1,0.3,0.5,0.2,0,1,BEAVER
1008,1,0.33,0.47,0.2,0,1,BEAVER
1009,1,0.41,0.4,0.19,0,1,BEAVER
1010,1,0.4,0.43,0.17,0,1,BEAVER
1011,1,0.25,0.52,0.23,0,1,BEAVER
1012,1,0.3,0.48,0.22,0,1,BEAVER
1013,1,0.51,0.33,0.16,0,1,BEAVER
1014,1,0.3,0.53,0.17,0,1,BEAVER
1015,1,0.22,0.67,0.11,0,1,BEAVER
1016,1,0,0.92,0.08,0,1,BEAVER
1017,1,0.3,0.53,0.17,0,1,BEAVER
1018,1,0.3,0.53,0.17,0,1,BEAVER
1019,1,0.3,0.53,0.17,0,1,BEAVER
1020,1,0.33,0.62,0.05,0,1,BEAVER
1021,1,0.33,0.61,0.06,0,1,BEAVER
1022,1,0.3,0.53,0.17,0,1,BEAVER
1023,1,0.3,0.53,0.17,0,1,BEAVER
1024,1,0.3,0.53,0.17,0,1,BEAVER
1025,1,0.3,0.53,0.17,0,1,BEAVER
1026,1,0.3,0.53,0.17,0,1,BEAVER
1027,1,0.3,0.53,0.17,0,1,BEAVER
1028,1,0.3,0.53,0.17,0,1,BEAVER
1029,1,0.3,0.53,0.17,0,1,BEAVER
1030,1,0.3,0.53,0.17,0,1,BEAVER
1031,1,0.2,0.73,0.07,0,1,BEAVER
1032,1,0.07,0.85,0.08,0,1,BEAVER
1033,1,0.3,0.53,0.17,0,1,BEAVER
1034,1,0.43,0.52,0.05,0,1,BEAVER
1035,1,0.3,0.53,0.17,0,1,BEAVER
1036,1,0.3,0.53,0.17,0,1,BEAVER
1037,1,0.3,0.53,0.17,0,1,BEAVER
1038,1,0.3,0.53,0.17,0,1,BEAVER
1039,1,0.3,0.53,0.17,0,1,BEAVER
1040,1,0.3,0.53,0.17,0,1,BEAVER
1041,1,0.3,0.53,0.17,0,1,BEAVER
1042,1,0.3,0.53,0.17,0,1,BEAVER
1043,1,0.3,0.53,0.17,0,1,BEAVER
1044,1,0.3,0.53,0.17,0,1,BEAVER
1045,1,0.3,0.53,0.17,0,1,BEAVER
1046,1,0.3,0.53,0.17,0,1,BEAVER
1047,1,0.3,0.53,0.17,0,1,BEAVER
1048,1,0.3,0.53,0.17,0,1,BEAVER
1049,1,0.3,0.53,0.17,0,1,BEAVER
1050,1,0.3,0.53,0.17,0,1,BEAVER
1051,1,0.3,0.53,0.17,0,1,BEAVER
1052,1,0.3,0.53,0.17,0,1,BEAVER
1053,1,0.3,0.53,0.17,0,1,BEAVER
1054,1,0.33,0.61,0.06,0,1,BEAVER
1055,1,0.3,0.53,0.17,0,1,BEAVER
1056,1,0.3,0.53,0.17,0,1,BEAVER
1057,1,0.3,0.53,0.17,0,1,BEAVER
1058,1,0.3,0.53,0.17,0,1,BEAVER
1059,1,0.3,0.53,0.17,0,1,BEAVER
1060,1,0.3,0.53,0.17,0,1,BEAVER
1061,1,0.3,0.53,0.17,0,1,BEAVER
1062,1,0.34,0.57,0.09,0,1,BEAVER
1063,1,0.26,0.63,0.11,0,1,BEAVER
1064,1,0.27,0.57,0.16,0,1,BEAVER
1065,1,0.31,0.6,0.09,0,1,BEAVER
1066,1,0.32,0.57,0.11,0,1,BEAVER
1067,1,0.32,0.57,0.11,0,1,BEAVER
1068,1,0.32,0.57,0.11,0,1,BEAVER
1069,1,0.32,0.57,0.11,0,1,BEAVER
1070,1,0.32,0.57,0.11,0,1,BEAVER
1071,1,0.32,0.57,0.11,0,1,BEAVER
1072,1,0.32,0.57,0.11,0,1,BEAVER
1073,1,0.32,0.57,0.11,0,1,BEAVER
1074,1,0.32,0.57,0.11,0,1,BEAVER
1075,1,0.32,0.57,0.11,0,1,BEAVER
1076,1,0.32,0.57,0.11,0,1,BEAVER
1077,1,0.32,0.57,0.11,0,1,BEAVER
1078,1,0.32,0.57,0.11,0,1,BEAVER
1079,1,0.32,0.57,0.11,0,1,BEAVER
1080,1,0.32,0.57,0.11,0,1,BEAVER
1081,1,0.32,0.57,0.11,0,1,BEAVER
1082,1,0.32,0.57,0.11,0,1,BEAVER
1083,1,0.32,0.57,0.11,0,1,BEAVER
1084,1,0.32,0.57,0.11,0,1,BEAVER
1085,1,0.32,0.57,0.11,0,1,BEAVER
1086,1,0.32,0.57,0.11,0,1,BEAVER
1087,1,0.23,0.61,0.16,0,1,BEAVER
1088,1,0.32,0.57,0.11,0,1,BEAVER
1089,1,0.32,0.57,0.11,0,1,BEAVER
1090,1,0.32,0.57,0.11,0,1,BEAVER
1091,1,0.32,0.57,0.11,0,1,BEAVER
1092,1,0.32,0.57,0.11,0,1,BEAVER
1093,1,0.32,0.57,0.11,0,1,BEAVER
1094,1,0.32,0.57,0.11,0,1,BEAVER
1095,1,0.32,0.57,0.11,0,1,BEAVER
1096,1,0.32,0.57,0.11,0,1,BEAVER
1097,1,0.32,0.57,0.11,0,1,BEAVER
1098,1,0.38,0.52,0.1,0,1,BEAVER
1099,1,0.32,0.57,0.11,0,1,BEAVER
1100,1,0.2,0.67,0.13,0,1,BEAVER
1101,1,0.37,0.52,0.11,0,1,BEAVER
1102,1,0.32,0.57,0.11,0,1,BEAVER
1103,1,0.32,0.57,0.11,0,1,BEAVER
1104,1,0.32,0.57,0.11,0,1,BEAVER
1105,1,0.32,0.57,0.11,0,1,BEAVER
1106,1,0.32,0.57,0.11,0,1,BEAVER
1107,1,0.32,0.57,0.11,0,1,BEAVER
1108,1,0.32,0.57,0.11,0,1,BEAVER
1109,1,0.32,0.57,0.11,0,1,BEAVER
1110,1,0.32,0.57,0.11,0,1,BEAVER
1111,1,0.32,0.57,0.11,0,1,BEAVER
1112,1,0.32,0.57,0.11,0,1,BEAVER
1113,1,0.32,0.57,0.11,0,1,BEAVER
1114,1,0.32,0.57,0.11,0,1,BEAVER
1115,1,0.32,0.57,0.11,0,1,BEAVER
1116,1,0.32,0.57,0.11,0,1,BEAVER
1117,1,0.32,0.57,0.11,0,1,BEAVER
1118,1,0.32,0.57,0.11,0,1,BEAVER
1119,1,0.31,0.55,0.14,0,1,BEAVER
1120,1,0.31,0.55,0.14,0,1,BEAVER
1121,1,0.31,0.55,0.14,0,1,BEAVER
3001,1,0.3,0.51,0.19,0,3,BOX ELDER
