;CO_TAZID,PCT_SUM,PCT_0TO17,PCT_18TO64,PCT_65P,SOURCE,CO_FIPS
1001.0,1.0,0.3,0.51,0.19,tract,1
1002.0,1.0,0.3,0.51,0.19,tract,1
1003.0,1.0,0.41,0.4,0.19,block,1
1004.0,1.0,0.3,0.51,0.19,tract,1
1005.0,1.0,0.27,0.52,0.21,block,1
1006.0,1.0,0.35,0.44,0.21,block,1
1007.0,1.0,0.3,0.5,0.2,block,1
1008.0,1.0,0.33,0.47,0.2,block,1
1009.0,1.0,0.41,0.4,0.19,block,1
1010.0,1.0,0.4,0.43,0.17,block,1
1011.0,1.0,0.26,0.52,0.22,block,1
1012.0,1.0,0.3,0.48,0.22,block,1
1013.0,1.0,0.51,0.33,0.16,block,1
1014.0,1.0,0.3,0.51,0.19,tract,1
1015.0,1.0,0.3,0.51,0.19,tract,1
1016.0,1.0,0.0,0.92,0.08,block,1
1017.0,1.0,0.0,0.92,0.08,block,1
1018.0,1.0,0.3,0.51,0.19,tract,1
1019.0,1.0,0.3,0.51,0.19,tract,1
1020.0,1.0,0.3,0.51,0.19,tract,1
1021.0,1.0,0.33,0.62,0.05,block,1
1022.0,1.0,0.3,0.51,0.19,tract,1
1023.0,1.0,0.3,0.51,0.19,tract,1
1024.0,1.0,0.3,0.51,0.19,tract,1
1025.0,1.0,0.3,0.51,0.19,tract,1
1026.0,1.0,0.3,0.51,0.19,tract,1
1027.0,1.0,0.3,0.51,0.19,tract,1
1028.0,1.0,0.3,0.51,0.19,tract,1
1029.0,1.0,0.3,0.51,0.19,tract,1
1030.0,1.0,0.3,0.51,0.19,tract,1
1031.0,1.0,0.3,0.51,0.19,tract,1
1032.0,1.0,0.07,0.85,0.08,block,1
1033.0,1.0,0.32,0.57,0.11,tract,1
1034.0,1.0,0.3,0.51,0.19,tract,1
1035.0,1.0,0.32,0.57,0.11,tract,1
1036.0,1.0,0.3,0.51,0.19,tract,1
1037.0,1.0,0.3,0.51,0.19,tract,1
1038.0,1.0,0.32,0.57,0.11,tract,1
1039.0,1.0,0.32,0.57,0.11,tract,1
1040.0,1.0,0.3,0.51,0.19,tract,1
1041.0,1.0,0.3,0.51,0.19,tract,1
1042.0,1.0,0.3,0.51,0.19,tract,1
1043.0,1.0,0.32,0.57,0.11,tract,1
1044.0,1.0,0.3,0.51,0.19,tract,1
1045.0,1.0,0.3,0.51,0.19,tract,1
1046.0,1.0,0.3,0.51,0.19,tract,1
1047.0,1.0,0.3,0.51,0.19,tract,1
1048.0,1.0,0.3,0.51,0.19,tract,1
1049.0,1.0,0.3,0.51,0.19,tract,1
1050.0,1.0,0.3,0.51,0.19,tract,1
1051.0,1.0,0.3,0.51,0.19,tract,1
1052.0,1.0,0.3,0.51,0.19,tract,1
1053.0,1.0,0.3,0.51,0.19,tract,1
1054.0,1.0,0.3,0.51,0.19,tract,1
1055.0,1.0,0.3,0.51,0.19,tract,1
1056.0,1.0,0.32,0.57,0.11,tract,1
1057.0,1.0,0.3,0.51,0.19,tract,1
1058.0,1.0,0.32,0.57,0.11,tract,1
1059.0,1.0,0.3,0.51,0.19,tract,1
1060.0,1.0,0.32,0.57,0.11,tract,1
1061.0,1.0,0.32,0.57,0.11,tract,1
1062.0,1.0,0.34,0.57,0.09,block,1
1063.0,1.0,0.26,0.63,0.11,block,1
1064.0,1.0,0.32,0.57,0.11,tract,1
1065.0,1.0,0.31,0.6,0.09,block,1
1066.0,1.0,0.32,0.57,0.11,tract,1
1067.0,1.0,0.32,0.57,0.11,tract,1
1068.0,1.0,0.32,0.57,0.11,tract,1
1069.0,1.0,0.32,0.57,0.11,tract,1
1070.0,1.0,0.32,0.57,0.11,tract,1
1071.0,1.0,0.32,0.57,0.11,tract,1
1072.0,1.0,0.32,0.57,0.11,tract,1
1073.0,1.0,0.32,0.57,0.11,tract,1
1074.0,1.0,0.32,0.57,0.11,tract,1
1075.0,1.0,0.32,0.57,0.11,tract,1
1076.0,1.0,0.32,0.57,0.11,tract,1
1077.0,1.0,0.32,0.57,0.11,tract,1
1078.0,1.0,0.32,0.57,0.11,tract,1
1079.0,1.0,0.32,0.57,0.11,tract,1
1080.0,1.0,0.32,0.57,0.11,tract,1
1081.0,1.0,0.32,0.57,0.11,tract,1
1082.0,1.0,0.32,0.57,0.11,tract,1
1083.0,1.0,0.32,0.57,0.11,tract,1
1084.0,1.0,0.32,0.57,0.11,tract,1
1085.0,1.0,0.32,0.57,0.11,tract,1
1086.0,1.0,0.32,0.57,0.11,tract,1
1087.0,1.0,0.32,0.57,0.11,tract,1
1088.0,1.0,0.32,0.57,0.11,tract,1
1089.0,1.0,0.32,0.57,0.11,tract,1
1090.0,1.0,0.32,0.57,0.11,tract,1
1091.0,1.0,0.32,0.57,0.11,tract,1
1092.0,1.0,0.32,0.57,0.11,tract,1
1093.0,1.0,0.32,0.57,0.11,tract,1
1094.0,1.0,0.32,0.57,0.11,tract,1
1095.0,1.0,0.32,0.57,0.11,tract,1
1096.0,1.0,0.32,0.57,0.11,tract,1
1097.0,1.0,0.32,0.57,0.11,tract,1
1098.0,1.0,0.38,0.52,0.1,block,1
1099.0,1.0,0.32,0.57,0.11,tract,1
1100.0,1.0,0.2,0.66,0.14,block,1
1101.0,1.0,0.37,0.52,0.11,block,1
1102.0,1.0,0.32,0.57,0.11,tract,1
1103.0,1.0,0.32,0.57,0.11,tract,1
1104.0,1.0,0.32,0.57,0.11,tract,1
1105.0,1.0,0.32,0.57,0.11,tract,1
1106.0,1.0,0.32,0.57,0.11,tract,1
1107.0,1.0,0.32,0.57,0.11,tract,1
1108.0,1.0,0.32,0.57,0.11,tract,1
1109.0,1.0,0.32,0.57,0.11,tract,1
1110.0,1.0,0.32,0.57,0.11,tract,1
1111.0,1.0,0.32,0.57,0.11,tract,1
1112.0,1.0,0.32,0.57,0.11,tract,1
1113.0,1.0,0.32,0.57,0.11,tract,1
1114.0,1.0,0.32,0.57,0.11,tract,1
1115.0,1.0,0.32,0.57,0.11,tract,1
1116.0,1.0,0.32,0.57,0.11,tract,1
1117.0,1.0,0.32,0.57,0.11,tract,1
1118.0,1.0,0.32,0.57,0.11,tract,1
1119.0,1.0,0.32,0.57,0.11,tract,1
1120.0,1.0,0.32,0.57,0.11,tract,1
1121.0,1.0,0.32,0.57,0.11,tract,1
3001.0,1.0,0.31,0.5,0.19,block,3
3002.0,1.0,0.33,0.51,0.16,tract,3
3003.0,1.0,0.33,0.51,0.16,tract,3
3004.0,1.0,0.33,0.51,0.16,tract,3
3005.0,1.0,0.33,0.51,0.16,tract,3
3006.0,1.0,0.33,0.51,0.16,tract,3
3007.0,1.0,0.33,0.51,0.16,tract,3
3008.0,1.0,0.33,0.51,0.16,tract,3
3009.0,1.0,0.33,0.51,0.16,tract,3
3010.0,1.0,0.33,0.51,0.16,tract,3
3011.0,1.0,0.33,0.51,0.16,tract,3
3012.0,1.0,0.33,0.51,0.16,tract,3
3013.0,1.0,0.3,0.51,0.19,block,3
3014.0,1.0,0.33,0.51,0.16,tract,3
3015.0,1.0,0.33,0.51,0.16,tract,3
3016.0,1.0,0.33,0.51,0.16,tract,3
3017.0,1.0,0.33,0.51,0.16,tract,3
3018.0,1.0,0.33,0.51,0.16,tract,3
3019.0,1.0,0.33,0.51,0.16,tract,3
3020.0,1.0,0.33,0.51,0.16,tract,3
3021.0,1.0,0.33,0.51,0.16,tract,3
3022.0,1.0,0.33,0.51,0.16,tract,3
3023.0,1.0,0.33,0.51,0.16,tract,3
3024.0,1.0,0.33,0.51,0.16,tract,3
3025.0,1.0,0.33,0.51,0.16,tract,3
3026.0,1.0,0.33,0.51,0.16,tract,3
3027.0,1.0,0.33,0.51,0.16,tract,3
3028.0,1.0,0.33,0.51,0.16,tract,3
3029.0,1.0,0.33,0.51,0.16,tract,3
3030.0,1.0,0.33,0.51,0.16,tract,3
3031.0,1.0,0.33,0.51,0.16,tract,3
3032.0,1.0,0.33,0.51,0.16,tract,3
3033.0,1.0,0.33,0.51,0.16,tract,3
3034.0,1.0,0.27,0.54,0.19,block,3
3035.0,1.0,0.33,0.51,0.16,tract,3
3036.0,1.0,0.33,0.51,0.16,tract,3
3037.0,1.0,0.33,0.51,0.16,tract,3
3038.0,1.0,0.33,0.51,0.16,tract,3
3039.0,1.0,0.33,0.54,0.13,tract,3
3040.0,1.0,0.28,0.58,0.14,block,3
3041.0,1.0,0.33,0.56,0.11,tract,3
3042.0,1.0,0.33,0.56,0.11,tract,3
3043.0,1.0,0.33,0.56,0.11,tract,3
3044.0,1.0,0.33,0.56,0.11,tract,3
3045.0,1.0,0.33,0.56,0.11,tract,3
3046.0,1.0,0.33,0.56,0.11,tract,3
3047.0,1.0,0.32,0.55,0.13,block,3
3048.0,1.0,0.33,0.56,0.11,tract,3
3049.0,1.0,0.33,0.56,0.11,tract,3
3050.0,1.0,0.33,0.56,0.11,tract,3
3051.0,1.0,0.33,0.56,0.11,tract,3
3052.0,1.0,0.33,0.56,0.11,tract,3
3053.0,1.0,0.33,0.56,0.11,tract,3
3054.0,1.0,0.32,0.55,0.13,block,3
3055.0,1.0,0.37,0.47,0.16,block,3
3056.0,1.0,0.41,0.48,0.11,block,3
3057.0,1.0,0.33,0.56,0.11,tract,3
3058.0,1.0,0.33,0.56,0.11,tract,3
3059.0,1.0,0.33,0.56,0.11,tract,3
3060.0,1.0,0.33,0.56,0.11,tract,3
3061.0,1.0,0.37,0.51,0.12,block,3
3062.0,1.0,0.41,0.48,0.11,block,3
3063.0,1.0,0.33,0.56,0.11,tract,3
3064.0,1.0,0.33,0.51,0.16,tract,3
3065.0,1.0,0.33,0.56,0.11,tract,3
3066.0,1.0,0.33,0.56,0.11,tract,3
3067.0,1.0,0.32,0.57,0.11,block,3
3068.0,1.0,0.33,0.56,0.11,tract,3
3069.0,1.0,0.33,0.56,0.11,tract,3
3070.0,1.0,0.33,0.51,0.16,tract,3
3071.0,1.0,0.33,0.55,0.12,tract,3
3072.0,1.0,0.33,0.56,0.11,tract,3
3073.0,1.0,0.33,0.56,0.11,tract,3
3074.0,1.0,0.35,0.54,0.11,block,3
3075.0,1.0,0.33,0.56,0.11,tract,3
3076.0,1.0,0.28,0.6,0.12,block,3
3077.0,1.0,0.33,0.56,0.11,tract,3
3078.0,1.0,0.4,0.5,0.1,block,3
3079.0,1.0,0.21,0.69,0.1,block,3
3080.0,1.0,0.3,0.6,0.1,block,3
3081.0,1.0,0.33,0.56,0.11,tract,3
3082.0,1.0,0.33,0.56,0.11,tract,3
3083.0,1.0,0.31,0.58,0.11,block,3
3084.0,1.0,0.3,0.59,0.11,block,3
3085.0,1.0,0.33,0.56,0.11,block,3
3086.0,1.0,0.33,0.56,0.11,tract,3
3087.0,1.0,0.43,0.48,0.09,block,3
3088.0,1.0,0.39,0.51,0.1,block,3
3089.0,1.0,0.33,0.56,0.11,tract,3
3090.0,1.0,0.33,0.55,0.12,tract,3
3091.0,1.0,0.33,0.56,0.11,tract,3
3092.0,1.0,0.33,0.56,0.11,tract,3
3093.0,1.0,0.33,0.56,0.11,tract,3
3094.0,1.0,0.33,0.56,0.11,tract,3
3095.0,1.0,0.33,0.56,0.11,tract,3
3096.0,1.0,0.33,0.56,0.11,tract,3
3097.0,1.0,0.33,0.52,0.15,tract,3
3098.0,1.0,0.33,0.56,0.11,tract,3
3099.0,1.0,0.33,0.51,0.16,tract,3
3100.0,1.0,0.33,0.56,0.11,tract,3
3101.0,1.0,0.33,0.56,0.11,tract,3
3102.0,1.0,0.33,0.56,0.11,tract,3
3103.0,1.0,0.33,0.56,0.11,tract,3
3104.0,1.0,0.22,0.65,0.13,block,3
3105.0,1.0,0.33,0.56,0.11,tract,3
3106.0,1.0,0.33,0.56,0.11,tract,3
3107.0,1.0,0.41,0.43,0.16,block,3
3108.0,1.0,0.33,0.56,0.11,tract,3
3109.0,1.0,0.35,0.5,0.15,block,3
3110.0,1.0,0.33,0.56,0.11,tract,3
3111.0,1.0,0.34,0.51,0.15,block,3
3112.0,1.0,0.37,0.48,0.15,block,3
3113.0,1.0,0.31,0.59,0.1,tract,3
3114.0,1.0,0.37,0.61,0.02,block,3
3115.0,1.0,0.39,0.58,0.03,block,3
3116.0,1.0,0.41,0.57,0.02,block,3
